City_ID,City,Country,Max Temp,Weather Descp,Lat,Lng,Hotel Name
1,Dingle,PH,76.98,broken clouds,11.0,122.67,Camp Pasica
2,Bendigo,AU,53.19,light rain,-36.77,144.28,The Hotel Shamrock
3,Bredasdorp,ZA,64.4,clear sky,-34.53,20.04,Bredasdorp Country Manor
7,Samarai,PG,79.81,light rain,-10.62,150.67,Nuli Sapi
8,Maunabo,PR,87.01,overcast clouds,18.01,-65.9,Maunacaribe
9,Rikitea,PF,73.96,light rain,-23.12,-134.97,Pension Maro'i
10,Barcelos,PT,62.01,scattered clouds,41.54,-8.62,Hotel Do Terço
11,Riyadh,SA,77.0,clear sky,24.69,46.72,InterContinental Riyadh
12,Tura,IN,70.54,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
13,Busselton,AU,53.01,clear sky,-33.65,115.33,Observatory Guest House
14,Ca Mau,VN,74.59,heavy intensity rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
15,Mataura,NZ,50.0,overcast clouds,-46.19,168.86,Ellie's Villa
16,Mae Sot,TH,71.44,overcast clouds,16.72,98.57,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
17,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
18,Ushuaia,AR,48.2,broken clouds,-54.8,-68.3,Albatros Hotel
19,Punta Arenas,CL,53.6,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
22,Bengkulu,ID,76.51,heavy intensity rain,-3.8,102.27,Grage Hotel Bengkulu
23,Sorland,NO,41.0,shower rain,67.67,12.69,Sjybrygga fiskecamp
24,Dongli,CN,69.8,few clouds,23.57,116.82,Chenghai Shizhang Donghuaqiao Hostel
25,New Norfolk,AU,51.01,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
26,Hvide Sande,DK,53.01,broken clouds,56.0,8.13,Hvide Sande Hotel
27,Cape Town,ZA,64.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
28,Saint-Philippe,RE,75.2,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
29,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
31,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
32,Kruisfontein,ZA,71.01,clear sky,-34.0,24.73,Oyster Bay House Rental
33,Hilo,US,71.01,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
34,Castro,BR,77.2,clear sky,-24.79,-50.01,CHACARA BAILLY
37,Namatanai,PG,79.86,broken clouds,-3.67,152.43,Namatanai Hotel
41,Codrington,AU,52.25,light rain,-38.27,141.97,Codrington Gardens Bed And Breakfast
43,Caravelas,BR,80.49,broken clouds,-17.71,-39.25,Pousada dos Navegantes
44,Camacha,PT,68.0,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
49,Tateyama,JP,64.0,overcast clouds,34.98,139.87,Tateyama Seaside Hotel
50,Atuona,PF,77.4,light rain,-9.8,-139.03,Villa Enata
53,Lagoa,PT,64.36,broken clouds,39.05,-27.98,Casa Das Faias
54,Coihaique,CL,60.8,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
55,Cidreira,BR,66.74,overcast clouds,-30.18,-50.21,Hotel Castelo
56,Veydelevka,RU,52.56,overcast clouds,50.15,38.45,Po Foto
57,Carnarvon,AU,68.0,clear sky,-24.87,113.63,Hospitality Carnarvon
58,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
59,Torbay,CA,59.0,overcast clouds,47.67,-52.73,Gallows Cove
60,Hami,CN,49.14,few clouds,42.8,93.45,Laoyutang Resort
62,Riohacha,CO,85.41,broken clouds,11.54,-72.91,Hotel Taroa
63,Yulara,AU,71.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
64,San Carlos,VE,86.59,scattered clouds,9.66,-68.58,Hotel Paternopoli
65,Nikolskoye,RU,46.4,light intensity shower rain,59.7,30.79,Tourist House - Sablino
67,Weligama,LK,79.3,light rain,5.97,80.42,Weligama Bay Resort
68,Masindi,UG,67.28,overcast clouds,1.67,31.71,New Court View Hotel
69,The Valley,AI,89.6,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
70,Inhambane,MZ,75.2,few clouds,-23.86,35.38,Oceano
74,Kaitangata,NZ,48.63,moderate rain,-46.28,169.85,Kaitangata Motor Camp
75,Kavieng,PG,81.66,light rain,-2.57,150.8,Nusa Island Retreat
77,Richards Bay,ZA,69.62,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
79,San Patricio,US,82.99,overcast clouds,28.02,-97.52,"Motel 6 Sinton, TX"
80,Praia,CV,86.0,few clouds,14.92,-23.51,LT Aparthotel
81,Vaini,TO,71.6,few clouds,-21.2,-175.2,Keleti Beach Resort
82,Kahului,US,75.99,clear sky,20.89,-156.47,Maui Seaside Hotel
83,Svetlogorsk,BY,52.81,broken clouds,52.63,29.73,Hotel Svetlogorsk JBIK
84,Fukue,JP,62.31,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
85,Lengshuitan,CN,59.23,clear sky,26.41,111.6,Jialong Hotel
88,Kasongo,CD,71.19,moderate rain,-4.45,26.67,Guest Hôtel
89,Dharchula,IN,57.0,clear sky,29.85,80.53,Mahara Hotel
90,Axim,GH,78.87,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
91,Mbandaka,CD,74.48,overcast clouds,0.05,18.26,Guest House Epervier
92,Bethel,US,71.01,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
93,Arraial Do Cabo,BR,78.8,scattered clouds,-22.97,-42.03,Pousada Porto Praia
94,Marsaxlokk,MT,68.0,few clouds,35.84,14.54,Water's Edge
95,Los Llanos De Aridane,ES,73.4,broken clouds,28.66,-17.92,Valle Aridane
96,Jamestown,US,64.0,mist,42.1,-79.24,Hampton Inn & Suites Jamestown
97,Mar Del Plata,AR,55.99,drizzle,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
99,Sungairaya,ID,79.79,overcast clouds,0.7,108.9,808 artel
100,Anqing,CN,55.71,light rain,30.51,117.05,Hongtian Hotel
101,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
102,Belgrade,RS,57.2,clear sky,44.8,20.47,Saruna Wellness - Hotel Park Belgrade
103,Turmalina,BR,81.37,overcast clouds,-17.29,-42.73,Hotel Cristal
105,Sao Filipe,CV,81.37,clear sky,14.9,-24.5,Tortuga B&B
106,Faanui,PF,78.57,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Cururupu,BR,82.67,light rain,-1.83,-44.87,Pousada Través'cia
108,Vao,NC,73.49,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
109,Beidao,CN,49.26,clear sky,34.57,105.89,Shell Tianshui Maiji District Erma Road Walking Street Hotel
111,Creel,MX,68.31,clear sky,27.75,-107.63,The Lodge at Creel Hotel & SPA
112,Saint George,US,60.8,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
114,Nicolas De Pierola,PE,68.0,scattered clouds,-11.95,-76.7,HOSTAL ELEGANCIA
116,Laguna,US,69.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
117,Itarema,BR,86.27,broken clouds,-2.92,-39.92,Windvillage
118,Porterville,US,73.99,clear sky,36.07,-119.02,Holiday Inn Express & Suites Porterville
119,Ambilobe,MG,76.71,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
121,Hermanus,ZA,64.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
