City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Descp
0,Worland,US,44.02,-107.96,26.01,73,90,16.11,overcast clouds
1,Dingle,PH,11.0,122.67,76.98,91,65,5.44,broken clouds
2,Bendigo,AU,-36.77,144.28,53.19,83,81,6.08,light rain
3,Bredasdorp,ZA,-34.53,20.04,64.4,82,4,9.17,clear sky
4,Albany,US,42.6,-73.97,69.01,65,32,2.21,scattered clouds
5,Almeirim,BR,-1.52,-52.58,97.09,36,32,5.82,scattered clouds
6,Clyde River,CA,70.47,-68.59,15.8,78,1,3.36,clear sky
7,Samarai,PG,-10.62,150.67,79.81,84,65,7.4,light rain
8,Maunabo,PR,18.01,-65.9,87.01,76,100,4.0,overcast clouds
9,Rikitea,PF,-23.12,-134.97,73.96,78,99,14.25,light rain
10,Barcelos,PT,41.54,-8.62,62.01,77,40,3.36,scattered clouds
11,Riyadh,SA,24.69,46.72,77.0,23,0,3.36,clear sky
12,Tura,IN,25.52,90.22,70.54,98,100,3.02,overcast clouds
13,Busselton,AU,-33.65,115.33,53.01,58,0,10.74,clear sky
14,Ca Mau,VN,9.18,105.15,74.59,97,100,4.56,heavy intensity rain
15,Mataura,NZ,-46.19,168.86,50.0,90,100,1.99,overcast clouds
16,Mae Sot,TH,16.72,98.57,71.44,91,94,1.32,overcast clouds
17,Avarua,CK,-21.21,-159.78,75.2,88,98,5.82,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,48.2,57,75,25.28,broken clouds
19,Punta Arenas,CL,-53.15,-70.92,53.6,50,75,13.87,broken clouds
20,Qaanaaq,GL,77.48,-69.36,18.41,94,100,3.09,light snow
21,Khatanga,RU,71.97,102.5,6.75,92,100,8.72,overcast clouds
22,Bengkulu,ID,-3.8,102.27,76.51,80,100,2.8,heavy intensity rain
23,Sorland,NO,67.67,12.69,41.0,65,75,10.29,shower rain
24,Dongli,CN,23.57,116.82,69.8,68,20,6.71,few clouds
25,New Norfolk,AU,-42.78,147.06,51.01,84,85,2.04,overcast clouds
26,Hvide Sande,DK,56.0,8.13,53.01,78,58,7.0,broken clouds
27,Cape Town,ZA,-33.93,18.42,64.0,82,0,17.22,clear sky
28,Saint-Philippe,RE,-21.36,55.77,75.2,73,0,17.22,clear sky
29,Puerto Ayora,EC,-0.74,-90.35,77.0,78,75,19.46,broken clouds
30,Saskylakh,RU,71.92,114.08,3.94,92,92,10.76,overcast clouds
31,Victoria,HK,22.29,114.16,75.0,55,100,3.0,overcast clouds
32,Kruisfontein,ZA,-34.0,24.73,71.01,66,0,3.0,clear sky
33,Hilo,US,19.73,-155.09,71.01,52,1,9.17,clear sky
