City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vao,NC,2020-10-20 04:06:47,-22.67,167.48,73.11,77,39,19.19
1,Hilo,US,2020-10-20 04:06:47,19.73,-155.09,80.6,65,1,9.17
2,Hermanus,ZA,2020-10-20 04:05:57,-34.42,19.23,57.99,86,31,4.0
3,Avarua,CK,2020-10-20 04:06:47,-21.21,-159.78,78.8,78,61,3.36
4,Ushuaia,AR,2020-10-20 04:06:47,-54.8,-68.3,35.6,89,75,34.45
5,Punta Arenas,CL,2020-10-20 04:06:48,-53.15,-70.92,39.2,69,20,16.11
6,Kapaa,US,2020-10-20 04:06:48,22.08,-159.32,82.4,69,40,6.93
7,Longyearbyen,SJ,2020-10-20 04:06:48,78.22,15.64,28.4,68,75,3.36
8,Namatanai,PG,2020-10-20 04:05:48,-3.67,152.43,84.78,69,97,2.01
9,Upernavik,GL,2020-10-20 04:06:48,72.79,-56.15,33.21,91,100,6.08
10,Port Hedland,AU,2020-10-20 04:06:49,-20.32,118.57,86.0,58,0,14.99
11,Rikitea,PF,2020-10-20 04:06:49,-23.12,-134.97,74.25,77,0,11.7
12,Albany,US,2020-10-20 04:06:49,42.6,-73.97,57.0,79,100,8.37
13,Sao Filipe,CV,2020-10-20 04:01:57,14.9,-24.5,81.28,72,23,4.85
14,Hithadhoo,MV,2020-10-20 04:06:49,-0.6,73.08,82.67,78,89,12.84
15,East London,ZA,2020-10-20 04:06:49,-33.02,27.91,60.8,77,40,17.22
16,Tayshet,RU,2020-10-20 04:06:50,55.93,98.0,33.71,78,100,9.98
17,Esperance,AU,2020-10-20 04:06:50,-33.87,121.9,68.0,82,75,11.41
18,Severo-Kurilsk,RU,2020-10-20 04:06:50,50.68,156.12,41.36,67,90,16.84
19,Luderitz,NA,2020-10-20 04:06:50,-26.65,15.16,57.27,68,0,22.1
20,Jamestown,US,2020-10-20 04:06:51,42.1,-79.24,53.01,100,90,4.7
21,Megion,RU,2020-10-20 04:06:51,61.03,76.11,32.0,99,90,6.71
22,Iqaluit,CA,2020-10-20 04:06:51,63.75,-68.51,24.8,85,90,9.17
23,Lavrentiya,RU,2020-10-20 04:06:51,65.58,-171.0,33.69,81,1,5.12
24,Ngerengere,TZ,2020-10-20 04:06:52,-6.75,38.12,68.0,94,75,0.65
25,Arlit,NE,2020-10-20 04:06:52,18.74,7.39,84.27,14,0,9.31
26,Collipulli,CL,2020-10-20 04:06:52,-37.95,-72.43,40.55,80,39,4.03
27,Denpasar,ID,2020-10-20 04:03:39,-8.65,115.22,84.2,74,75,9.17
28,Salalah,OM,2020-10-20 04:06:52,17.02,54.09,78.8,57,40,2.24
29,Cape Town,ZA,2020-10-20 04:06:53,-33.93,18.42,59.0,93,75,2.24
30,Butaritari,KI,2020-10-20 04:06:53,3.07,172.79,82.53,76,100,11.36
31,Faanui,PF,2020-10-20 04:06:53,-16.48,-151.75,79.41,78,31,18.84
32,Oskarshamn,SE,2020-10-20 04:06:53,57.26,16.45,32.0,75,93,3.29
33,Ancud,CL,2020-10-20 04:06:53,-41.87,-73.82,44.01,93,75,6.93
34,Xinzhou,CN,2020-10-20 04:06:54,38.41,112.73,64.26,28,100,7.4
